tip.label,HRAF.culture,Expression,Restrictiveness,lat,long,Subsistence_Pattern,Subsistence,Biome,Landscape,MeanMonthlyTemperature,Temperature_Predictability,Temperature_Variance,Precipitation_Variance,MeanMonthlyPrecipitation,Precipitation_Predictability,Men_Poly
Ibo,Igbo,1,3,6,7,Horticultralists,Horticultralists,Tropical & Subtropical Moist Broadleaf Forests,Forests,25,0.784091609,2,8374543041,138728,0.705665753,24
Inca,Inka,1,1,-14,-72,Intensive Agricultralists,Agricultralists,Montane Grasslands & Shrublands,Grasslands,3,0.730279602,3,41396047734,308214,0.820655606,10
Ingalik,Ingalik,1,3,63,-160,Hunter-Gatherers,Hunter-Gatherers,Boreal Forests/Taiga,Forests,-4,0.457029625,126,886700089,58884,0.664050635,4
Irish,Rural Irish,1,1,54,-10,Agro-Pastoralists,Agricultralists,Temperate Broadleaf & Mixed Forests,Forests,11,0.74817859,8,3491045078,132987,0.76708049,0
Japanese,Okayama,1,2,35,134,Intensive Agricultralists,Agricultralists,Temperate Broadleaf & Mixed Forests,Forests,14,0.656782616,68,7394435303,132984,0.656782616,0
Javanese,Javanese,1,2,-8,112,Intensive Agricultralists,Agricultralists,Tropical & Subtropical Moist Broadleaf Forests,Forests,26,0.814093763,0,15377980634,188301,0.654488941,2
Jivaro,Jivaro,1,2,-3,-78,Horticultralists,Horticultralists,Tropical & Subtropical Moist Broadleaf Forests,Forests,21,0.776108034,1,8841008874,118612,0.713244058,50
Kapauku,Kapauku,0,0,-4,136,Intensive Agricultralists,Agricultralists,Tropical & Subtropical Moist Broadleaf Forests,Forests,24,0.849195744,0,29213650732,330068,0.653550567,31
Kaska,Kaska,1,3,60,-131,Hunter-Gatherers,Hunter-Gatherers,Boreal Forests/Taiga,Forests,-5,0.483030316,109,1398625820,81754,0.711216025,2
Kazak,Kazakh,1,1,43,76,Pastoralists,Pastoralists,"Temperate Grasslands, Savannas, & Shrublands",Grasslands,3,0.57909679,120,861589161,40560,0.624230961,10
Kenuzi_Nubians,Nubians,1,1,23,39,Horticultralists,Horticultralists,Deserts & Xeric Shrublands,Desert,27,0.725292015,24,185140467,6403,0.249339973,
Khmer,Cambodians,1,2,12,105,Intensive Agricultralists,Agricultralists,Tropical & Subtropical Moist Broadleaf Forests,Forests,25,0.739226829,3,22299796285,186258,0.683406944,
Kikuyu,Gikuyu,1,1,-1,37,Intensive Agricultralists,Agricultralists,"Tropical & Subtropical Grasslands, Savannas, & Shrublands",Grasslands,18,0.772535365,1,2391993146,48526,0.669648678,
Koreans,Korea,1,2,38,126,Intensive Agricultralists,Agricultralists,Temperate Broadleaf & Mixed Forests,Forests,11,0.676033933,100,6186705294,79581,0.571090278,1
Kung_Bushmen,San,1,2,-20,21,Hunter-Gatherers,Hunter-Gatherers,"Tropical & Subtropical Grasslands, Savannas, & Shrublands",Grasslands,21,0.66374214,15,11601735251,87000,0.47807913,10
Kurd,Kurds,1,2,37,45,Pastoralists,Pastoralists,Temperate Broadleaf & Mixed Forests,Forests,15,0.610643704,120,1516010607,38059,0.451745288,4
Kwoma,Kwoma,1,2,-4,143,Other Combos,Horticultralists,Tropical & Subtropical Moist Broadleaf Forests,Forests,21,0.8395235,0,23857301913,375292,0.758307521,38
Lakher,Mara,1,2,22,93,Horticultralists,Horticultralists,Tropical & Subtropical Moist Broadleaf Forests,Forests,22,0.721559698,18,13169633272,110430,0.585944256,
Lapps,Saami,1,2,69,22,Pastoralists,Pastoralists,Boreal Forests/Taiga,Forests,-3,0.521744634,92,713389583,65438,0.731691465,0
Lengua,Enxet and Enlhet,1,2,-23,-59,Hunter-Gatherers,Hunter-Gatherers,"Tropical & Subtropical Grasslands, Savannas, & Shrublands",Grasslands,25,0.628947046,13,6264653158,97963,0.608324256,3
Lepcha,Lepcha,1,3,28,89,Intensive Agricultralists,Agricultralists,Montane Grasslands & Shrublands,Grasslands,8,0.69638479,39,96491128664,253038,0.534284911,21
Lolo,Yi,1,1,28,104,Intensive Agricultralists,Agricultralists,Tropical & Subtropical Moist Broadleaf Forests,Forests,10,0.675058953,44,7338060720,108919,0.664730881,3
Lozi,Lozi,1,2,-16,24,Other Combos,Agricultralists,Flooded Grasslands & Savannas,Grasslands,22,0.715611495,11,16848707242,105957,0.515210058,40
Luguru,Luguru,1,3,-7,38,Horticultralists,Horticultralists,"Tropical & Subtropical Grasslands, Savannas, & Shrublands",Grasslands,21,0.808886348,4,5819966558,116821,0.707984455,
Manchu,Manchu,1,2,50,126,Intensive Agricultralists,Agricultralists,Temperate Broadleaf & Mixed Forests,Forests,-1,0.568257375,263,3547577607,53252,0.617193659,0
Manus,Manus,1,1,-2,147,Hunter-Gatherers,Hunter-Gatherers,Tropical & Subtropical Moist Broadleaf Forests,Forests,28,0.842232695,0,10765114054,219224,0.625105769,2
Maori,Maori,1,3,-35,174,Hunter-Gatherers,Hunter-Gatherers,Temperate Broadleaf & Mixed Forests,Forests,17,0.777040984,9,2880919131,96336,0.621173695,1
Mapuche,Mapuche,0,0,-39,-73,Intensive Agricultralists,Agricultralists,"Mediterranean Forests, Woodlands, & Scrub",Forests,12,0.729435579,12,4295021417,72566,0.614944272,6
Marquesan,Marquesas,1,2,-9,-140,Other Combos,Horticultralists,Tropical & Subtropical Moist Broadleaf Forests,Forests,27,0.787867357,0,22176393604,154798,0.638503399,0
Marshallese,Marshallese,1,3,6,169,Other Combos,Horticultralists,Tropical & Subtropical Moist Broadleaf Forests,Forests,28,0.856103189,0,17777078999,302548,0.6959807,
Masai,Maasai,0,0,-4,37,Pastoralists,Pastoralists,"Tropical & Subtropical Grasslands, Savannas, & Shrublands",Grasslands,19,0.75700962,3,4960612801,71294,0.696066264,41
Massa_Masa,Masa,0,0,11,16,Agro-Pastoralists,Agricultralists,"Tropical & Subtropical Grasslands, Savannas, & Shrublands",Grasslands,26,0.721990878,4,6003048458,77687,0.651249858,
Mbundu,Ovimbundu,1,3,-12,17,Horticultralists,Horticultralists,"Tropical & Subtropical Grasslands, Savannas, & Shrublands",Grasslands,18,0.741032035,3,13661008540,122664,0.569825805,27
Mbuti,Mbuti,1,3,2,28,Hunter-Gatherers,Hunter-Gatherers,Tropical & Subtropical Moist Broadleaf Forests,Forests,21,0.816795745,0,8474274385,246503,0.784538547,6
Mende,Mende,1,1,8,-12,Horticultralists,Horticultralists,Tropical & Subtropical Moist Broadleaf Forests,Forests,25,0.817180001,1,57923937221,235053,0.697608287,90
Micmac,Mi'kmaq,1,3,47,-65,Hunter-Gatherers,Hunter-Gatherers,Temperate Broadleaf & Mixed Forests,Forests,6,0.580414978,118,1638214920,99385,0.708767505,13
Miskito,Miskito,1,3,15,-83,Hunter-Gatherers,Hunter-Gatherers,Tropical & Subtropical Moist Broadleaf Forests,Forests,26,0.856405403,1,3617435018,75805,0.715106202,2
MISSING_Huron,Huron,1,2,45,-79,Other Combos,Horticultralists,Temperate Broadleaf & Mixed Forests,Forests,7,0.668149871,135,1124859360,76329,0.668149871,0
MISSING_Kimam,Kimam,1,3,-8,139,Intensive Agricultralists,Agricultralists,Tropical & Subtropical Moist Broadleaf Forests,Forests,26,0.835337738,1,13856923015,175932,0.648898766,15
MISSING_Klamath,Klamath,1,3,43,-122,Hunter-Gatherers,Hunter-Gatherers,Temperate Conifer Forests,Forests,8,0.568131431,50,15025939486,133841,0.582081243,20
MISSING_Nambicuara,Nambicuara,1,2,-13,-59,Hunter-Gatherers,Hunter-Gatherers,"Tropical & Subtropical Grasslands, Savannas, & Shrublands",Grasslands,24,0.724191694,3,11398012340,120205,0.622984362,31
MISSING_Omaha,Omaha,1,3,41,-97,Hunter-Gatherers,Hunter-Gatherers,"Temperate Grasslands, Savannas, & Shrublands",Grasslands,12,0.524770885,161,1387105739,53965,0.616569554,35
MISSING_Pomo_Eastern,Eastern Pomo,1,3,39,-123,Intensive Agricultralists,Agricultralists,"Mediterranean Forests, Woodlands, & Scrub",Forests,14,0.666567942,16,6496817890,63918,0.488241822,2
MISSING_Yurok,Yurok,1,3,42,-124,Hunter-Gatherers,Hunter-Gatherers,Temperate Conifer Forests,Forests,12,0.65134887,13,10790474701,101372,0.587750387,4
